System,Distractor Ratio,Correctness (1-5) (95% CI),Relevance (1-5) (95% CI),Groundedness (0-1) (95% CI),Recall@K (95% CI),Precision@K (95% CI),MRR (95% CI),ROUGE-1 F1 (95% CI),ROUGE-L F1 (95% CI)
Graph-Anchored,2.0,"1.59 [1.49, 1.70]","1.32 [1.19, 1.48]","0.94 [0.89, 0.98]","0.45 [0.39, 0.52]","0.20 [0.17, 0.24]","0.37 [0.31, 0.44]","0.22 [0.20, 0.25]","0.15 [0.14, 0.17]"
Graph-Anchored,3.0,"1.59 [1.49, 1.70]","1.32 [1.19, 1.48]","0.94 [0.89, 0.98]","0.45 [0.39, 0.52]","0.20 [0.17, 0.24]","0.37 [0.31, 0.44]","0.22 [0.20, 0.25]","0.15 [0.14, 0.17]"
Multi-Agent,0.0,"1.68 [1.54, 1.81]","1.44 [1.32, 1.58]","0.93 [0.88, 0.97]","0.44 [0.38, 0.50]","0.19 [0.16, 0.22]","0.32 [0.27, 0.37]","0.22 [0.20, 0.25]","0.15 [0.13, 0.17]"
Multi-Agent,0.5,"1.67 [1.53, 1.80]","1.44 [1.32, 1.58]","0.93 [0.88, 0.97]","0.44 [0.38, 0.50]","0.19 [0.16, 0.22]","0.32 [0.27, 0.37]","0.22 [0.19, 0.24]","0.15 [0.13, 0.17]"
Multi-Agent,1.0,"1.67 [1.53, 1.80]","1.44 [1.32, 1.58]","0.93 [0.88, 0.97]","0.44 [0.38, 0.50]","0.19 [0.16, 0.22]","0.32 [0.27, 0.37]","0.22 [0.19, 0.24]","0.15 [0.13, 0.17]"
Multi-Agent,2.0,"1.67 [1.53, 1.80]","1.44 [1.32, 1.58]","0.93 [0.88, 0.97]","0.44 [0.38, 0.50]","0.19 [0.16, 0.22]","0.32 [0.27, 0.37]","0.22 [0.19, 0.24]","0.15 [0.13, 0.17]"
Multi-Agent,3.0,"1.67 [1.53, 1.80]","1.44 [1.32, 1.58]","0.93 [0.88, 0.97]","0.44 [0.38, 0.50]","0.19 [0.16, 0.22]","0.32 [0.27, 0.37]","0.22 [0.19, 0.24]","0.15 [0.13, 0.17]"
Multi-AgentBM25,0.0,"1.68 [1.54, 1.83]","1.47 [1.32, 1.62]","0.93 [0.88, 0.97]","0.45 [0.39, 0.51]","0.19 [0.17, 0.23]","0.33 [0.27, 0.39]","0.22 [0.19, 0.24]","0.15 [0.13, 0.17]"
Multi-AgentBM25,0.5,"1.68 [1.54, 1.83]","1.47 [1.32, 1.62]","0.93 [0.88, 0.97]","0.45 [0.39, 0.51]","0.19 [0.17, 0.23]","0.33 [0.27, 0.39]","0.22 [0.19, 0.24]","0.15 [0.13, 0.17]"
Multi-AgentBM25,1.0,"1.68 [1.54, 1.83]","1.47 [1.32, 1.62]","0.93 [0.88, 0.97]","0.45 [0.39, 0.51]","0.19 [0.17, 0.23]","0.33 [0.27, 0.39]","0.22 [0.19, 0.24]","0.15 [0.13, 0.17]"
Multi-AgentBM25,2.0,"1.68 [1.54, 1.83]","1.47 [1.32, 1.62]","0.93 [0.88, 0.97]","0.45 [0.39, 0.51]","0.19 [0.17, 0.23]","0.33 [0.27, 0.39]","0.22 [0.19, 0.24]","0.15 [0.13, 0.17]"
Multi-AgentBM25,3.0,"1.68 [1.54, 1.83]","1.47 [1.32, 1.62]","0.93 [0.88, 0.97]","0.45 [0.39, 0.51]","0.19 [0.17, 0.23]","0.33 [0.27, 0.39]","0.22 [0.19, 0.24]","0.15 [0.13, 0.17]"
StandardRAG,0.0,"2.86 [2.68, 3.02]","3.18 [2.97, 3.39]","0.67 [0.58, 0.75]","0.75 [0.70, 0.81]","0.69 [0.64, 0.75]","0.81 [0.75, 0.87]","0.37 [0.35, 0.39]","0.24 [0.22, 0.26]"
StandardRAG,0.5,"2.87 [2.68, 3.03]","3.17 [2.96, 3.38]","0.68 [0.60, 0.75]","0.75 [0.70, 0.81]","0.69 [0.63, 0.74]","0.81 [0.75, 0.87]","0.37 [0.35, 0.39]","0.24 [0.22, 0.27]"
StandardRAG,1.0,"2.86 [2.68, 3.02]","3.17 [2.95, 3.38]","0.69 [0.62, 0.77]","0.75 [0.70, 0.81]","0.69 [0.63, 0.74]","0.81 [0.74, 0.87]","0.37 [0.35, 0.39]","0.24 [0.22, 0.27]"
StandardRAG,2.0,"2.85 [2.67, 3.02]","3.16 [2.95, 3.38]","0.68 [0.60, 0.76]","0.75 [0.70, 0.81]","0.68 [0.62, 0.74]","0.80 [0.74, 0.86]","0.37 [0.35, 0.39]","0.24 [0.22, 0.27]"
StandardRAG,3.0,"2.88 [2.70, 3.04]","3.17 [2.96, 3.39]","0.68 [0.59, 0.76]","0.75 [0.70, 0.81]","0.68 [0.62, 0.74]","0.80 [0.74, 0.86]","0.37 [0.35, 0.39]","0.24 [0.22, 0.27]"
TemplatePrompting,0.0,"2.78 [2.66, 2.91]","3.58 [3.44, 3.73]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.23 [0.21, 0.24]","0.15 [0.14, 0.15]"
TemplatePrompting,0.5,"2.75 [2.63, 2.88]","3.58 [3.42, 3.73]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.23 [0.21, 0.24]","0.15 [0.14, 0.15]"
TemplatePrompting,1.0,"2.75 [2.63, 2.88]","3.58 [3.42, 3.73]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.23 [0.21, 0.24]","0.15 [0.14, 0.15]"
TemplatePrompting,2.0,"2.75 [2.63, 2.88]","3.58 [3.42, 3.73]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.23 [0.21, 0.24]","0.15 [0.14, 0.15]"
TemplatePrompting,3.0,"2.75 [2.63, 2.88]","3.58 [3.42, 3.73]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.23 [0.21, 0.24]","0.15 [0.14, 0.15]"
